Name,Service,Location,Zip Code,Phone Number,Website,Notes,Families?,Young Children?,Seniors?,At Risk Health Groups?,Low Income?,Frontline Healthcare Workers?,Language
Eastchester Presbyterian Church,Prepared Meals,Bronx,10469,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Thursday 5:00-6:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Shiloh Temple Pentecostal Church,Prepared Meals,Bronx,10466,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Thursday 11:30-1:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Act of Faith Ministries,Prepared Meals,Brooklyn,11206,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs 12-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Bed Stuy Campaign Against Hunger,Prepared Meals,Brooklyn,11233,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon + Thurs 10-3pm; Tues, Wed, Fri 10am-6pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Bethel Community Outreach,Prepared Meals,Brooklyn,11216,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Tues + Fri 7pm-9pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Black Veteran's for Social Justice,Prepared Meals,Brooklyn,11206,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Fri- 8-9am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Blessed Assurance Church of God,Prepared Meals,Brooklyn,11233,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 9-11am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Bnai Rapheal Chesed Organization,Prepared Meals,Brooklyn,11230,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon-Wed 10-4pm ,Thurs 10-6pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Brooklyn Rescue Mission,Prepared Meals,Brooklyn,11221,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Tues 10:30-12:30, Wed 10-12pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Calvary Pentecostal Church,Prepared Meals,Brooklyn,11218,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs 11-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Calvary UFW Baptist Church,Prepared Meals,Brooklyn,11207,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Food Pantry: Thurs 12-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
CCNS-Brooklyn West Family Center,Prepared Meals,Brooklyn,11211,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs 9:30am-12pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
CCNS- St. John's Food Pantry,Prepared Meals,Brooklyn,11206,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Tues 8:30am-12pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Children of the Light Ministry,Prepared Meals,Brooklyn,11236,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon + Wed 10-4pm, Fri 12-6pm, Sat 10am-2pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Christ Apostolic Church,Prepared Meals,Brooklyn,11218,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Tues 6:30-7:30pm, Sat 11am-2pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Christ the Rock International,Prepared Meals,Brooklyn,11208,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Wed 5-6pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Christian Cultural Center,Prepared Meals,Brooklyn,11236,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs 9-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Church of God Inc.,Prepared Meals,Brooklyn,11212,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 2-3pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Church of Living God,Prepared Meals,Brooklyn,11213,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 9-12:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Church of Praise and Worship God in Christ,Prepared Meals,Brooklyn,11233,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 12:30-2:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
COPO Food Pantry,Prepared Meals,Brooklyn,11230,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Fri 1:30-4:40, Senior Lunch Program Mon-Fri 1-3pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Cornerstone Baptist Food Pantry,Prepared Meals,Brooklyn,11221,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Tues 11-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Crown Heights Jewish Community Council,Prepared Meals,Brooklyn,11213,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Wed 1:30-3pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Cuyler Warren United Methodist Church,Prepared Meals,Brooklyn,11217,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Tues: 1:30-2:45pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Emmaus S.D.A. Church,Prepared Meals,Brooklyn,11226,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Pantry Thurs. 1-4pm. Emergency Pantry Sun 2-5pm.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Family LIfe Development Center,Prepared Meals,Brooklyn,11216,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon 8-6pm, Thurs 3-6pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Family Services Network,Prepared Meals,Brooklyn,11207,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Food Pantry: Mon + Wed 10-1pm *bring ID,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Food First,Prepared Meals,Brooklyn,11231,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Wed 11-1pm, Fri 10-12pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Full Effect Gospel Ministries,Prepared Meals,Brooklyn,11208,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Wed 5-7pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Gethsemane SDA Church,Prepared Meals,Brooklyn,11225,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Wed 5-7pm, Sun 12-2pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Good News Deliverance Tabernacle,Prepared Meals,Brooklyn,11208,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 11-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Greater Unified Freewill Baptist Church,Prepared Meals,Brooklyn,11216,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Food Pantry: Wed 8:00-1:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Greenpoint Reformed Church,Prepared Meals,Brooklyn,11222,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs: 4-7pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Hebron SDA French Church,Prepared Meals,Brooklyn,11216,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Food Pantry: 1st and 3rd Wed 9-10:30am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Holding Hands Ministries,Prepared Meals,Brooklyn,11220,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 9-12:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Holy Innocent Church Inc.,Prepared Meals,Brooklyn,11226,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Wed 8am-12pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Horeb SDA Church - Food Pantry,Prepared Meals,Brooklyn,11225,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Tues 10am-11am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Iglesia de Dios de la Profecia,Prepared Meals,Brooklyn,11211,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Weds 11-12:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
King Emmanuel Community Services,Prepared Meals,Brooklyn,11233,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs + Fri 10:30-12pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Las Maravillas Del Exodo,Prepared Meals,Brooklyn,11208,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Wed 11-12pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Masbia of Boro Park,Prepared Meals,Brooklyn,11230,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Food Pantry & Soup Kitchen: Sun-Thurs 2-7pm - No referral needed for first meal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Mizpah Assemblies Inc.,Prepared Meals,Brooklyn,11212,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 7:30am- register for a bag; Pick-up bag 12-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
More Grace Redemptive Center Inc.,Prepared Meals,Brooklyn,11226,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Tuesday 11am-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Movement of Pentecostal,Prepared Meals,Brooklyn,11237,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sun 12-2pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
New Life SDA Church,Prepared Meals,Brooklyn,11212,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon. 5pm-7pm, Tues. 6pm-8pm, Sun. 8am-10am",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Oneg Shabbos,Prepared Meals,Brooklyn,11218,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon, Tues, Wed, Fri 9am-5pm; Thurs 6pm-9pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Open Door to Heaven Outreach,Prepared Meals,Brooklyn,11208,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Sat 12:30-1:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Other People In Need,Prepared Meals,Brooklyn,11233,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Wed 5-7pm, Fri 2-4pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Reaching Out Community Services,Prepared Meals,Brooklyn,11214,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon, Tues, Thurs, Fri 9:30-4pm, Wed 9:30am-5:30pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Recovery House of Brooklyn,Prepared Meals,Brooklyn,11217,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Mon, Tues, Fri 9-10am; Every Saturday EXCEPT first Sat of month 9-10:30AM ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Salt & Sea Mission,Prepared Meals,Brooklyn,11223,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Tues + Thurs 12-2pm, Sun 11am-1pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Shiloh SDA Church,Prepared Meals,Brooklyn,11216,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs 9:30-11:30am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Shorefront Jewish Community Council,Prepared Meals,Brooklyn,11235,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Thurs 9:30-3pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Siloam Presbyterian Church Food Pantry,Prepared Meals,Brooklyn,11216,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,"Wed 9:30-12:30, Fri 10-12pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Solid Rock Baptist Church,Prepared Meals,Brooklyn,11206,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Mon + Thurs 9-12pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Southside United HDFC Inc,Prepared Meals,Brooklyn,11211,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Tues 10-12pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
St. Augustine American Catholic Church Inc.,Prepared Meals,Brooklyn,11213,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BrooklynResourceGuide04.06.2020DOE.pdf,Food Pantry: Fri 1-3pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
